"productId","partNumber","name","brand","productType","particleSize","poreSize","columnLength","innerDiameter","phaseType","phRange","status"
"THER-25003-012101","25003-012101","Hypersil GOLD™ C18 Selectivity HPLC Columns","Thermo Fisher Scientific","HPLC Column","3 μm","175 Å","10 mm","2.1 mm","Reversed Phase
Endcapped","1 to 11","active"
"THER-25003-013001","25003-013001","Hypersil GOLD™ C18 Selectivity HPLC Columns","Thermo Fisher Scientific","HPLC Column","3 μm","175 Å","10 mm","3 mm","Reversed Phase
Endcapped","1 to 11","active"
"THER-25005-011001","25005-011001","Hypersil GOLD™ C18 Selectivity HPLC Columns","Thermo Fisher Scientific","HPLC Column","3 μm","175 Å","10 mm","1 mm","Reversed Phase
Endcapped","1 to 11","active"
"THER-25005-012101","25005-012101","Hypersil GOLD™ C18 Selectivity HPLC Columns","Thermo Fisher Scientific","HPLC Column","3 μm","175 Å","10 mm","2.1 mm","Reversed Phase
Endcapped","1 to 11","active"
"THER-25005-013001","25005-013001","Hypersil GOLD™ C18 Selectivity HPLC Columns","Thermo Fisher Scientific","HPLC Column","3 μm","175 Å","10 mm","3 mm","Reversed Phase
Endcapped","1 to 11","active"
"THER-25005-014001","25005-014001","Hypersil GOLD™ C18 Selectivity HPLC Columns","Thermo Fisher Scientific","HPLC Column","3 μm","175 Å","10 mm","4 mm","Reversed Phase
Endcapped","1 to 11","active"
"THER-25005-029223","25005-029223","Hypersil GOLD™ C18 Selectivity HPLC Columns","Thermo Fisher Scientific","HPLC Column","3 μm","175 Å","20 mm","21.2 mm","Reversed Phase
Endcapped","1 to 11","active"
"THER-25005-052130","25005-052130","Hypersil GOLD™ C18 Selectivity HPLC Columns","Thermo Fisher Scientific","HPLC Column","3 μm","175 Å","50 mm","2.1 mm","Reversed Phase
Endcapped","1 to 11","active"
"THER-25005-053030","25005-053030","Hypersil GOLD™ C18 Selectivity HPLC Columns","Thermo Fisher Scientific","HPLC Column","3 μm","175 Å","50 mm","3 mm","Reversed Phase
Endcapped","1 to 11","active"
"THER-25005-054630","25005-054630","Hypersil GOLD™ C18 Selectivity HPLC Columns","Thermo Fisher Scientific","HPLC Column","3 μm","175 Å","50 mm","4.6 mm","Reversed Phase
Endcapped","1 to 11","active"
"THER-25005-102130","25005-102130","Hypersil GOLD™ C18 Selectivity HPLC Columns","Thermo Fisher Scientific","HPLC Column","3 μm","175 Å","100 mm","2.1 mm","Reversed Phase
Endcapped","1 to 11","active"
"THER-25005-104630","25005-104630","Hypersil GOLD™ C18 Selectivity HPLC Columns","Thermo Fisher Scientific","HPLC Column","3 μm","175 Å","100 mm","4.6 mm","Reversed Phase
Endcapped","1 to 11","active"
"THER-25005-152130","25005-152130","Hypersil GOLD™ C18 Selectivity HPLC Columns","Thermo Fisher Scientific","HPLC Column","3 μm","175 Å","150 mm","2.1 mm","Reversed Phase
Endcapped","1 to 11","active"
"THER-25005-153030","25005-153030","Hypersil GOLD™ C18 Selectivity HPLC Columns","Thermo Fisher Scientific","HPLC Column","3 μm","175 Å","150 mm","3 mm","Reversed Phase
Endcapped","1 to 11","active"
"THER-25005-154030","25005-154030","Hypersil GOLD™ C18 Selectivity HPLC Columns","Thermo Fisher Scientific","HPLC Column","3 μm","175 Å","150 mm","4 mm","Reversed Phase
Endcapped","1 to 11","active"
"THER-25005-154630","25005-154630","Hypersil GOLD™ C18 Selectivity HPLC Columns","Thermo Fisher Scientific","HPLC Column","3 μm","175 Å","150 mm","4.6 mm","Reversed Phase
Endcapped","1 to 11","active"
"THER-25005-253030","25005-253030","Hypersil GOLD™ C18 Selectivity HPLC Columns","Thermo Fisher Scientific","HPLC Column","3 μm","175 Å","250 mm","3 mm","Reversed Phase
Endcapped","1 to 11","active"
"THER-25005-254630","25005-254630","Hypersil GOLD™ C18 Selectivity HPLC Columns","Thermo Fisher Scientific","HPLC Column","3 μm","175 Å","250 mm","4.6 mm","Reversed Phase
Endcapped","1 to 11","active"
"THER-25012-029223","25012-029223","Hypersil GOLD™ C18 Selectivity HPLC Columns","Thermo Fisher Scientific","HPLC Column","3 μm","175 Å","20 mm","21.2 mm","Reversed Phase
Endcapped","1 to 11","active"
